Organization/Person Name,Organization/Person Name URL,Website,Regions,Full Description,Industries,Industry Groups,Investment Stage,Investor Type,Number of Investments,Location,Contact Email,Phone Number,LinkedIn,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Moderne Ventures,https://www.crunchbase.com/organization/moderne-ventures,http://www.moderneventures.com,"Greater Chicago Area, Great Lakes, Midwestern US","Moderne Ventures is an early stage venture fund focused on investing in technology companies in the multi-trillion dollar industries of real estate, finance, insurance and home services. Moderne has built an extraordinary Network of over 700 executives within its sectors and a programmatic approach to launch its companies into these verticals.   Moderne has both a Venture Fund and a systematic growth acceleration program, the Moderne Passport, which is an immersive program that both launches companies into Moderne’s core industries and provides advisory to our corporate partners that helps them work with startups and establish innovation into their culture.","Business Development, Finance, Venture Capital","Financial Services, Lending and Investments, Professional Services",Early Stage Venture,"Micro VC, Venture Capital",71,"Chicago, Illinois, United States",info@moderneventures.com,,https://www.linkedin.com/company/6628465,,,,,,
Cross Creek,https://www.crunchbase.com/organization/cross-creek-capital,https://www.crosscreek.vc/,Western US,"Cross Creek is a venture capital firm founded in 2006 inside of Wasatch Advisors, Inc. Through its direct investment strategy and fund investment strategy the firm seeks to invest in what we believe are high quality late stage companies and top-tier venture capital funds. The strategies are mutually beneficial in their goal to strengthen ties between private and public investors and to achieve above market returns for limited partners.",Health Care,Health Care,Late Stage Venture,Venture Capital,71,"Salt Lake City, Utah, United States",info@crosscreekadvisors.com,801.214.0010,https://www.linkedin.com/company/cross-creek-advisors-llc,,,,,,
Upslope Ventures,https://www.crunchbase.com/organization/galvanize,https://www.upslope.vc/,"Greater Denver Area, Western US","Formerly Galvanize Ventures, Upslope Ventures is an early stage venture capital fund that invests in startups across the country.  They believe exceptional teams can originate from any location.  They provide more than capital and introductions.  By leveraging their network they aim to empower entrepreneurs with the resources they need to have their best chance at success - even if they don’t invest.",Venture Capital,"Financial Services, Lending and Investments","Early Stage Venture, Seed","Micro VC, Venture Capital",71,"Denver, Colorado, United States",contact@upslope.vc,,https://www.linkedin.com/company/upslope-io/about/,,,,,,
B Capital Group,https://www.crunchbase.com/organization/b-capital-group,http://www.bcapgroup.com,"Greater Los Angeles Area, West Coast, Western US","B Capital Group backs brash entrepreneurs building technology companies. With offices in Los Angeles, San Francisco, and Singapore, B Capital Group focuses on pioneering start-ups that are ready to scale across the global stage. Partnering with Boston Consulting Group, and its incubation arm BCG Digital Ventures, B Capital delivers access to top corporations to match start-ups with the world's most powerful CEOs, platforms, and brands. B Capital Group's unique multinational presence, combined with deep industry expertise, has built a portfolio of B2B and B2B2C startups that are transforming large traditional industries across borders and geographies. It helps startups navigate business challenges, raise capital, and attract talented leadership at key points of their journeys to scale.","Business Development, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Professional Services",,Venture Capital,70,"Manhattan Beach, California, United States",info@bcapgroup.com,310 698 1270,https://www.linkedin.com/company/b-capital-group,,,,,,
Applied Ventures,https://www.crunchbase.com/organization/applied-ventures,http://appliedventures.com/,"San Francisco Bay Area, Silicon Valley, West Coast","Applied Ventures, LLC is the venture capital fund of Applied Materials, Inc., (NASDAQ: AMAT), the global leader in nanomanufacturing technology solutions for the electronics industry with a broad portfolio of innovative equipment, service, and software products. At Applied Materials, they apply nanomanufacturing technology to improve the way people live. Applied Ventures invests in early-stage technology companies that promise to deliver high growth and exceptional returns. Their charter is to profitably invest in companies that provide a window on technologies that advance or complement Applied Materials' core expertise. Their investments help develop technologies and markets that provide natural extensions to Applied Materials' core business and stimulate the growth of applications for semiconductors, displays, solar PV, and related products and services.","Advanced Materials, Manufacturing, Nanotechnology, Semiconductor, Venture Capital","Financial Services, Hardware, Lending and Investments, Manufacturing, Science and Engineering","Early Stage Venture, Late Stage Venture, Seed",Corporate Venture Capital,70,"Santa Clara, California, United States",applied_ventures@amat.com,408-563-5300,https://www.linkedin.com/company/applied-materials/,,,,,,
S3 Ventures,https://www.crunchbase.com/organization/s3-ventures,http://www.S3vc.com,Southern US,"Based in Austin, we are committed to empowering entrepreneurs with the patient capital and true resources required to build extraordinary, high-impact companies.",Venture Capital,"Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture",Venture Capital,70,"Austin, Texas, United States",marketing@s3vc.com,(512) 258-1759,http://www.linkedin.com/company/S3-Ventures,,,,,,
Alpaca VC,https://www.crunchbase.com/organization/alpaca-vc,http://www.alpaca.vc,"Greater New York Area, East Coast, Northeastern US","Alpaca VC leads Seed rounds in founders that are reshaping the real world. We believe that layering technology over daily life transforms how the real world works, so we invest in the people, products, and processes that power commerce in the physical world.    Led by a diverse team of company builders, operators, and analytical thinkers, Alpaca develops a repeatable playbook to help its entrepreneurs most efficiently progress from Seed to Series A.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed",Venture Capital,70,"New York, New York, United States",hey@alpaca.vc,212-775-1111,https://www.linkedin.com/company/corigin-ventures,,,,,,
Sinai Ventures,https://www.crunchbase.com/organization/sinai-ventures,https://www.sinaivc.com,"Greater Los Angeles Area, West Coast, Western US","Sinai Ventures is a venture capital firm with a presence in Silicon Valley, New York City, and Los Angeles. The firm invests in software and internet founders at all stages.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",,Venture Capital,70,"Los Angeles, California, United States",info@sinaivc.com,,https://www.linkedin.com/company/sinai-ventures/,,,,,,
North Coast Ventures,https://www.crunchbase.com/organization/north-coast-angel-fund,https://www.northcoast.vc/,"Great Lakes, Midwestern US","North Coast Ventures (formerly North Coast Angel Fund) is comprised of four contributed capital funds with a focus on early-stage technology investments. Our membership consists of a number of Ohio's leading investors, entrepreneurs, and business leaders who are dedicated to accelerating early-stage ventures. North Coast Ventures members play an active role by generating deal flow, serving on due diligence teams, working with portfolio companies, or serving on the Investment Screening and Executive Committees. Through this involvement, our goal is to provide a supportive environment for our portfolio companies and ultimately enhance the performance of our Fund. Northeast Ohio has a long tradition of active and successful angel investing, but until recently, the success of this crucial form of funding has hinged on the efforts of a relatively small number of individual investors. As the region’s first professionally managed angel fund, North Coast Angel Fund works to improve the early-stage funding environment for both entrepreneurs and investors.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed",Angel Group,70,"Cleveland, Ohio, United States",,,https://www.linkedin.com/company/348793,,,,,,
BMW i Ventures,https://www.crunchbase.com/organization/bmw-ventures,http://www.bmwiventures.com,"San Francisco Bay Area, Silicon Valley, West Coast",BMW i Ventures invests in cutting-edge solutions focusing on BMW’s current and future business in the technology and customer and service space.,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Seed",Corporate Venture Capital,70,"Mountain View, California, United States",,,https://www.linkedin.com/company/bmw-i-ventures,,,,,,
Technology Partners,https://www.crunchbase.com/organization/technology-partners,http://www.technologypartners.com,"San Francisco Bay Area, Silicon Valley, West Coast",,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Private Equity, Seed",Venture Capital,70,"Palo Alto, California, United States",admin@technologypartners.com,,,,,,,,
Prolog Ventures,https://www.crunchbase.com/organization/prolog-ventures,http://www.prologventures.com,Midwestern US,,Venture Capital,"Financial Services, Lending and Investments",Early Stage Venture,Venture Capital,70,"St Louis, Missouri, United States",prolog@prologventures.com,,http://www.linkedin.com/company/prolog-ventures,,,,,,
Skyline Ventures,https://www.crunchbase.com/organization/skyline-ventures,http://www.skylineventures.com,"San Francisco Bay Area, Silicon Valley, West Coast","Skyline Ventures, formed in 1997, is a nationally-known venture capital firm that specializes in investing in outstanding product-focused healthcare companies. Their areas of expertise include small molecule and protein therapeutics; medical devices; diagnostics; and technologies that facilitate drug discovery and life science research. They all have MD or PhD degrees, and hands-on operating experience in various start-up healthcare companies that later went public. As a result, they are known for the value they offer their companies, as board members and shareholders. They are also known for being fundamental, extremely patient investors. The days when momentum investing drove the public biotechnology markets are long gone, and they are glad that they are. The public markets demand data, not dreams. As a result, it is data that drives their decision process. In considering a new investment, they focus on whether there is adequate proof of principle to believe that the company's products will work. In therapeutics, for example, they look closely at whether the biochemistry, animal models and any human data make it more probable than average that the product will eventually prove to have an important therapeutic benefit. The size of the potential market and the quality of the management or founding team are critical in their evaluation as well. Skyline Ventures are value and return driven, more than driven by the stage of the investment. Most often they lead or co-lead a company's first or second institutional venture round, but have previously helped found companies and invested in PIPEs and leveraged buyouts. In October 2007, they completed raising Skyline V, which has $350 million in committed capital. They have approximately $800 million under management. They target investments of $15-35 million per portfolio company over the life of the company.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture",Venture Capital,70,"Palo Alto, California, United States",,650-462-5800,https://www.linkedin.com/company/skyline-ventures,,,,,,
JP Morgan,https://www.crunchbase.com/organization/jp-morgan-chase,https://www.jpmorgan.com,"Greater New York Area, East Coast, Northeastern US","J.P. Morgan is a leader in financial services, offering solutions to clients in more than 100 countries with one of the most comprehensive global product platforms available. We have been helping our clients to do business and manage their wealth for more than 200 years. Our business has been built upon our core principle of putting our clients’ interests first.","Banking, Credit Cards, Finance, Financial Services, Wealth Management","Financial Services, Lending and Investments, Payments",,Investment Bank,69,"New York, New York, United States",,,http://www.linkedin.com/company/j-p-morgan,,,,,,
Flint Capital,https://www.crunchbase.com/organization/flint-capital,http://www.flintcap.com,"Greater Boston Area, East Coast, New England","Flint Capital is an international venture capital fund investing across the US, Europe, and Israel with offices in Palo Alto, Boston, and Tel Aviv. It invests in promising entrepreneurs and technology ventures with global ambitions. Its unique global positioning enables them to support Israeli and European ventures on both sides of the ocean, as they expand into the US market. This Bridge strategy, as well as its broad network of entrepreneurs, industry experts, and investment funds, provides them with access to high-quality investment opportunities.","Artificial Intelligence, Cyber Security, Enterprise Software, Health Care, Internet of Things","Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software","Early Stage Venture, Seed, Venture",Venture Capital,69,"Boston, Massachusetts, United States",info@flintcap.com,,http://www.linkedin.com/company/3236802,,,,,,
EcoR1 Capital,https://www.crunchbase.com/organization/ecor1-capital,http://ecor1cap.com/,"San Francisco Bay Area, West Coast, Western US",,Financial Services,Financial Services,"Early Stage Venture, Late Stage Venture","Private Equity Firm, Venture Capital",69,"San Francisco, California, United States",info@ecor1cap.com,415-754-3517,https://www.linkedin.com/company/2796455?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2796455%2Cidx%3A1-1-1%2CtarId%3A1441126555540%2Ctas%3AEcoR1%20Capital,,,,,,
NextGen Venture Partners,https://www.crunchbase.com/organization/nextgenvp,http://nextgenvp.com,"Greater Baltimore-Maryland Area, East Coast, Southern US","NextGen Venture Partners invests $1-2M in seed stage companies with the participation of 1,000+ Venture Partners.",Venture Capital,"Financial Services, Lending and Investments","Early Stage Venture, Seed",Micro VC,69,"Baltimore, Maryland, United States",info@nextgenvp.com,,https://www.linkedin.com/company/nextgen-venture-partners/,,,,,,
Brook Venture Partners,https://www.crunchbase.com/organization/brook-venture-partners,http://www.brookventure.com,"Greater Boston Area, East Coast, New England","Brook Venture Partners has been providing growth capital financing for more than 15 years to expansion stage technology companies, focusing on initial investments ranging from $2-20 million. Their investment capital is targeted to support the accelerated business development and sales growth of portfolio companies – effectively scaling already proven models to help these companies capitalize on their respective market opportunities.                                                                                                                                                                                    Brook's current investment focus is on profitable companies in markets such as healthcare IT, software, database marketing, and/or tech enabled marketing services.  These companies gernerally have revenue of $2-30 million with a revenue model that is highly recurring.","Analytics, Health Care, Venture Capital","Data and Analytics, Financial Services, Health Care, Lending and Investments",,Venture Capital,69,"Wakefield, Massachusetts, United States",,(781)295-4000,http://www.linkedin.com/company/brook-venture-partners,,,,,,
Village Capital,https://www.crunchbase.com/organization/village-capital,http://www.vilcap.com,"Washington DC Metro Area, Southern US","Village Capital uses the power of peer support to change the traditional dynamics between investors and entrepreneurs, providing access to entrepreneurship for everyone.  We recruit entrepreneurs solving specific problems in agriculture, energy, education, financial inclusion, and health. We then put the power of investment in the hands of the entrepreneurs, who award pre-committed seed funding to the two ventures ranked highest by the entrepreneurs at the end of every program. Our programs connect high potential, early-stage entrepreneurs with the people, institutions, and capital they need to succeed. We support early-stage ventures with a 501c3 nonprofit that operates training programs for founders, investors, and communities. We also manage a for-profit, managed investment fund that provides early-stage capital to top graduates of each program, as selected by their peers. Our unique peer-selection model received McKinsey/Harvard Business Review’s prestigious M-Prize for innovation in 2013, and we have supported more than 550 enterprises across 51 programs in 9 countries. Since 2009, Village Capital has supported more than 1,000 entrepreneurs through our programs and partnered with affiliated investment funds, including VilCap Investments, that have invested seed capital in more than 90 program graduates. Over the past 8 years, our program graduates have gone on to generate $61.5M in revenue, reach 8.5 million customers, and create over 11,500 jobs. 96% of our alumni would recommend our program to other entrepreneurs, and to date and 91% of our entrepreneurs are still in business.","Agriculture, EdTech, Education, Energy, Finance, Financial Services, FinTech, Health Care","Agriculture and Farming, Education, Energy, Financial Services, Health Care, Software","Convertible Note, Debt, Early Stage Venture, Private Equity, Seed","Accelerator, Entrepreneurship Program, Venture Capital",69,"Washington, District of Columbia, United States",dahler.battle@vilcap.com,(919) 475-0437,http://www.linkedin.com/company/village-capital,,,,,,
Dundee Venture Capital,https://www.crunchbase.com/organization/dundee-venture-capital,http://www.dundeeventurecapital.com,Midwestern US,"Dundee Venture Capital invests $250,000-$1M in high-growth, early-stage technology companies. DVC invests across industries in founding teams they believe in. Most of DVC's investments are in e-commerce, B2B SaaS, or consumer networks. Dundee VC formally began in 2010. The root of the idea started much earlier when Mark Hasebroock, Dundee VC’s founding, and managing partner, was raising money for his two e-commerce companies, giftcertificates.com and Hayneedle.com, in the late 1990s and early 2000s, respectively.","E-Commerce, PaaS, SaaS, Venture Capital","Commerce and Shopping, Financial Services, Lending and Investments, Software","Early Stage Venture, Seed",Micro VC,69,"Omaha, Nebraska, United States",greg@dundeevc.com,1 402-850-1802,https://www.linkedin.com/company/dundee-venture-capital/,,,,,,
Vast Ventures,https://www.crunchbase.com/organization/vast-ventures,http://www.vastvc.com,"Greater New York Area, East Coast, Northeastern US","We are a manifesto-driven venture fund seeking world changing companies led by diverse founders who want to:  Improve world-wide health and happiness; Promote resource sustainability for future generations; Increase human potential and productivity; Increase knowledge, empathy and connectedness; Disrupt industries that resist these goals. A sample of sectors we invest in includes:  Happiness & Consumer Brands; AI & Cloud Software; Finance, Insurance & Real Estate; Resource Sustainability & Deep Tech; Healthcare; Food. We have made over 70 investments including ASAPP, MOAT, Classpass, Ripple, Coinbase, Tala, Ginkgo Bioworks, Diamond Foundry, Clover Health, Zocdoc and SweetGreen.",Venture Capital,"Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture",Venture Capital,69,"New York, New York, United States",d@vastvc.com,,https://www.linkedin.com/company/vast-ventures/,,,,,,
Montage Ventures,https://www.crunchbase.com/organization/montage-ventures,http://montageventures.com/,"San Francisco Bay Area, Silicon Valley, West Coast","Montage Ventures is an early stage venture capital firm actively investing in financial services, e-Commerce, marketplaces and healthcare start-ups.",Venture Capital,"Financial Services, Lending and Investments","Early Stage Venture, Seed","Micro VC, Venture Capital",69,"Menlo Park, California, United States",info@montageventures.com,,https://www.linkedin.com/company/montage-ventures,,,,,,
Double M Partners,https://www.crunchbase.com/organization/double-m-partners,http://doublempartners.com,"Greater Los Angeles Area, West Coast, Western US","Double M Partners is a venture capital and investment company that specializes in seed and early stage investments. It seeks to invest in the internet, media, and communications companies whose core offering is in business to business infrastructure, software, infrastructure, security, management platform and/or hardware. The company invests between $0.1 million and $0.50 million in its portfolio companies.  Double M Partners was founded by Mark Mullen in 2012 and is headquartered in Los Angeles, California.",B2B,Other,"Early Stage Venture, Seed",Micro VC,69,"Los Angeles, California, United States",,,http://www.linkedin.com/profile/view?id=121829,,,,,,
SparkLabs Global Ventures,https://www.crunchbase.com/organization/sparklabs-global-ventures,http://www.sparklabsglobal.com,"San Francisco Bay Area, Silicon Valley, West Coast","SparkLabs Global Ventures is a venture capital firm that offers seed-stage investment services to firms in the SaaS, healthcare, education, IoT, fintech, mobile, commerce, HR, gaming, security, and VR industries. It was founded in Dec 2013 and is based in California. Exceptional entrepreneurs, that are building strong, category defining companies at highly advantageous valuations – can be found anywhere. The company has a team that is highly experienced in finding such talent and helping our entrepreneurs to develop, grow, network, and scale into other markets throughout the world.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed","Micro VC, Venture Capital",69,"Palo Alto, California, United States",,,https://www.linkedin.com/company/sparklabs-global-ventures,,,,,,
Aberdare Ventures,https://www.crunchbase.com/organization/aberdare-ventures,http://www.aberdare.com,"San Francisco Bay Area, West Coast, Western US",Aberdare Ventures is a venture firm that focuses on a limited number of entrepreneurial teams committed to building leading healthcare technology companies. They limit their commitments in the belief that their involvement can increase the probability of success for their portfolio companies and generate greater returns for their investors.,"Banking, Finance, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",Venture Capital,69,"San Francisco, California, United States",,(415) 392-4264,https://www.linkedin.com/company/aberdare-ventures,,,,,,
Coinbase Ventures,https://www.crunchbase.com/organization/coinbase-ventures,https://ventures.coinbase.com/,"San Francisco Bay Area, West Coast, Western US",Coinbase Ventures is an investment arm of Coinbase that aims to invest in early-stage cryptocurrency and blockchain startups.,"Blockchain, Cryptocurrency, Finance, Financial Services","Financial Services, Other, Payments, Software",Early Stage Venture,Corporate Venture Capital,68,"San Francisco, California, United States",support@coinbase.com,+1 (800) 777-1992,https://www.linkedin.com/company/coinbase/,,,,,,
Expa,https://www.crunchbase.com/organization/expa,http://www.expa.com,"San Francisco Bay Area, West Coast, Western US","Expa is a startup studio designed for entrepreneurs to create and launch new companies. Started in 2013 by Uber co-founder Garrett Camp, Expa is a team of experienced founders and entrepreneurs dedicated to identifying the next big idea and partnering with the future generation of leaders to build great companies. Our partners have founded or led some of the most valuable and well-known companies including Uber, Twitter, LinkedIn, FourSquare, StumbleUpon, AddThis, MetroLyrics, and Envoy.  Expa has raised $150 million from a number of investors including Expa Founder/CEO Garrett Camp and other LPs.","Finance, Internet, Mobile","Financial Services, Internet Services, Mobile","Early Stage Venture, Seed",Accelerator,68,"San Francisco, California, United States",hello@expa.com,,http://www.linkedin.com/company/expa,,,,,,
Breyer Capital,https://www.crunchbase.com/organization/breyer-capital,http://breyercapital.com,"San Francisco Bay Area, Silicon Valley, West Coast","Breyer Capital is a premier global venture capital and private equity investor focused on catalyzing high-impact entrepreneurs in the United States and China. Founded by Jim Breyer in 2006, Breyer Capital makes long-term, idea-driven strategic investments in its chosen core areas: social media, entertainment/media, digital health, and financial technologies. Breyer Capital actively partners with a diverse set of companies including early-stage startups building breakthrough technologies, fast growing companies, and established worldwide leading corporations. Its team enjoys helping to frame strategic investments anchored by the passion of founders and owner/operator teams, the insights of its network of world-class investors, and a conviction that artificial intelligence, machine learning, and virtual reality will transform technology and investment opportunities globally.","Angel Investment, Finance, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Private Equity","Private Equity Firm, Venture Capital",68,"Menlo Park, California, United States",info@breyercapital.com,(212) 687-8080,https://www.linkedin.com/company/6613913?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A6613913%2Cidx%3A1-1-1%2CtarId%3A1442937743452%2Ctas%3ABreyer%20Capital,,,,,,
Blu Venture Investors,https://www.crunchbase.com/organization/blu-venture-investors,http://bluventures.com,"Washington DC Metro Area, East Coast, Southern US","Blu Venture Investors is a venture capital investment company that supports early-stage entrepreneurs. Their investors are experienced, successful operating executives with experience in a broad range of industries and business models. Each of their investors has successfully launched new companies, products or services. The company provides initial growth-stage funding and active mentorship to early-stage companies while delivering strong returns for its members and the entrepreneurs they support. Blue Ventures Investors was founded in 2010 and is based in Vienna, Virginia, United States.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed","Angel Group, Micro VC, Venture Capital",68,"Vienna, Virginia, United States",mgittleman@bluventures.com,301-980-2939,https://www.linkedin.com/company/bluventures/,,,,,,
Rockies Venture Club,https://www.crunchbase.com/organization/rockies-venture-club,http://www.rockiesventureclub.org,"Greater Denver Area, Western US","Rockies Venture Club (RVC) is a non-profit organization dedicated to economic development by funding entrepreneurial companies. RVC hosts the Angel Capital Summit and Colorado Capital Conferences as well as over sixty events each year. Rockies Venture Club is also an active Angel group, with over 30 investments in the last 2 years. Alongside Rockies Venture Club, is Rockies Venture Fund I, an Angel sidecar fund.","Angel Investment, Banking, Financial Services, Impact Investing, Non Profit, Venture Capital","Financial Services, Lending and Investments, Other","Early Stage Venture, Seed, Venture",Angel Group,68,"Denver, Colorado, United States",info@rockiesventureclub.org,(720) 353-9350,http://www.linkedin.com/company/rockies-venture-club,,,,470000,USD,470000
KEC Ventures,https://www.crunchbase.com/organization/kec-ventures,http://kecventures.com,"Greater New York Area, East Coast, Northeastern US",,"Agriculture, Construction, Energy, Industrial Automation, Manufacturing, Oil and Gas, SaaS, Venture Capital","Agriculture and Farming, Energy, Financial Services, Lending and Investments, Manufacturing, Natural Resources, Real Estate, Science and Engineering, Software","Early Stage Venture, Seed",Venture Capital,68,"New York, New York, United States",info@kecventures.com,,http://www.linkedin.com/company/5002652,,,,,,
Merck Global Health Innovation Fund,https://www.crunchbase.com/organization/merck-global-health-innovation-fund,http://www.merck.com/ghi,"Greater New York Area, East Coast, Northeastern US","Merck Global Health Innovation Fund (Merck GHI) is evolving corporate healthcare venture capital globally by utilizing their healthcare ecosystem strategy.  This investment strategy connects innovative companies with complementary technologies to develop integrated healthcare solutions. Merck GHI has $500M under management and provides growth capital to emerging healthcare technology companies worldwide while leveraging the vast R&D-based, global resources of Merck. With a vision that data will be the currency in healthcare, GHI invests broadly in digital health.  GHI invests in platform companies with proven technologies or business models where Merck's expertise and perspectives can accelerate revenue growth and enhance value creation.   Since late 2010, Merck GHI has made over 20 investments in Digital Health companies.","Finance, Health Care, Venture Capital","Financial Services, Health Care, Lending and Investments",,Corporate Venture Capital,68,"Whitehouse Station, New Jersey, United States",,,,,,,,,
Stripes,https://www.crunchbase.com/organization/stripesco,https://www.stripes.co,"Greater New York Area, East Coast, Northeastern US","Stripes, based in New York City and founded in 2008, is a growth equity firm that makes $10-150 million investments in software and branded consumer product businesses. The firm’s values shape its unique approach to investing: Invest in Relationships: Long-term success is built on shared goals, trust and understanding. We care deeply for the people we work with and establish strong and lasting relationships with our partners. We love the work we do together; it’s hard, rewarding and fun. Culture is Core to Strategy: A great culture is the foundation of great companies. We value both how the work gets done and the results. Build for the Journey: To realize exceptional growth, companies must evolve and scale, navigating new opportunities and challenges at each step. We’re a dynamic proven partner, committed with the right resources, insights, and networks that create value for the road ahead. Great Leadership Builds Great Businesses: We deeply respect the pivotal role leaders play in building great businesses. We place our bets on these extraordinary individuals and stand in service to support their vision, their plans, and their teams.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Private Equity",Private Equity Firm,68,"New York, New York, United States",info@stripes.co,(212) 823 0720,https://www.linkedin.com/company/stripesco/,,,,,,
Sante Ventures,https://www.crunchbase.com/organization/sante-ventures,http://www.santeventures.com,Southern US,Santé Ventures is a life sciences venture capital firm that invests exclusively in early-stage companies developing innovative new medical technologies or healthcare delivery models. The firm was founded in 2006 and has $281 million in capital under management in two funds.,"Biotechnology, Health Care, Venture Capital","Biotechnology, Financial Services, Health Care, Lending and Investments, Science and Engineering","Early Stage Venture, Late Stage Venture",Venture Capital,68,"Austin, Texas, United States",press@santeventures.com,512.721.1200,https://www.linkedin.com/company/sant-ventures,,,,,,
TPG Biotech,https://www.crunchbase.com/organization/tpg-biotech,http://www.tpgbiotech.com,"San Francisco Bay Area, West Coast, Western US","TPG Biotech is part of the growth equity and venture investment platform of TPG, the global private investment firm.  TPG Biotech targets investments in pharmaceutical discovery and development, medical technology, diagnostics, healthcare and pharmaceutical services, life sciences, as well as industrial applications of biotechnology.  TPG Biotech has access to the broader resources of TPG.","Biotechnology, Finance, Venture Capital","Biotechnology, Financial Services, Lending and Investments, Science and Engineering","Early Stage Venture, Late Stage Venture, Private Equity","Private Equity Firm, Venture Capital",68,"San Francisco, California, United States",inquiries@tpg.com,,,,,,,,
FreshTracks Capital,https://www.crunchbase.com/organization/freshtracks-capital,http://www.freshtrackscap.com,"New England, Northeastern US","FreshTracks is a seed & early stage venture capital firm focused on financing businesses. The firm was founded in 2000, and is currently investing out of its 2016 vintage FreshTracks IV Fund, which is managed by co-founder Cairn Cross, T.J. Whalen & Lee Bouyea.  FreshTracks’ expertise, networks, resources and capital support innovative businesses through multiple rounds of financing and stages of growth.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed",Micro VC,68,"Shelburne, Vermont, United States",hkillary@freshtrackscap.com,(802)923-1500,http://www.linkedin.com/company/1075685,,,,,,
CMEA Ventures,https://www.crunchbase.com/organization/cmea-ventures,http://www.cmeaventures.com/,"San Francisco Bay Area, West Coast, Western US","CMEA Ventures is a San Francisco based venture capital firm that specializes in high technology, life sciences, and alternative energy investments. The firm invests in both early and late stage companies, and actively partners with its extended network of companies, other VC firms, institutional investors, strategic partners as well as entrepreneurs. CMEA was originally formed as an affiliate of New Enterprise Associates (NEA) in 1989 and became independent in 1997. CMEA currently has 74 portfolio companies, 6 funds and manages $1.2 billion of venture capital.","Energy, Life Science, Venture Capital","Biotechnology, Energy, Financial Services, Lending and Investments, Science and Engineering",,Venture Capital,68,"San Francisco, California, United States",,,https://www.linkedin.com/company/cmea-capital/about/,,,,,,
Draper Richards,https://www.crunchbase.com/organization/draper-richards,http://www.draperrichards.com,"San Francisco Bay Area, Silicon Valley, West Coast",[Draper Richards](http://www.draperrichards.com) is a venture capital firm investing in early-stage technology companies.,"Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Seed",Venture Capital,68,"Menlo Park, California, United States",,650-319-7808,,,,,,,
Backstage Capital,https://www.crunchbase.com/organization/backstage-capital,http://backstagecapital.com/,"Greater Los Angeles Area, West Coast, Western US",Backstage Capital is a venture capital fund investing in the best startups led by underrepresented founders in the U.S.,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed","Micro VC, Venture Capital",67,"West Hollywood, California, United States",,,https://www.linkedin.com/company/15232925/,1500000,USD,1500000,1500000,USD,1500000
Drive Capital,https://www.crunchbase.com/organization/drive-capital,http://drivecapital.com/,"Great Lakes, Midwestern US","Drive Capital invests in innovative technology, healthcare, and consumer companies in the Midwest. The firm is looking for innovative entrepreneurs addressing big market opportunities. Its goal is to partner with entrepreneurs that have audacious goals and strive to build large sustainable companies. The firm seeks to invest in information technology, financial services, and mobile sectors. It was founded in 2012 and is headquartered in Columbus, Ohio.","Financial Services, Information Technology, Venture Capital","Financial Services, Information Technology, Lending and Investments",Early Stage Venture,Venture Capital,67,"Columbus, Ohio, United States",info@drivecapital.com,,http://www.linkedin.com/company/drive-capital,,,,,,
CARB-X,https://www.crunchbase.com/organization/carb-x,http://www.carb-x.org/,"Greater Boston Area, East Coast, New England",Accelerate a diverse portfolio of at least 20 high-quality antibacterial products towards clinical development leveraging $250 million in BARDA funds with matching funds from the Wellcome Trust and the AMR Centre.,,,,Accelerator,67,"Boston, Massachusetts, United States",carbxapp@bu.edu,,https://www.linkedin.com/company/carb-x,,,,,,
